GroupLevel,subId,name,greetings
1,1,The festival is approaching Find the most vibrant flowers to decorate You can combine them on the flower tree to collect them more easily, Hello do you feel happy today
1,2,Red flowers symbolize luck Clear obstacles to collect these valuable flowers, Hello how is your red flower collection going Are you facing any difficulties
1,3,A lot of flowers are needed to complete the beautiful garlands Free blocked flower tiles to collect more, Hello have you gathered enough flowers to make a garland
1,4,Purple flowers will make the festival even more colorful Use special items to break barriers and collect them, Hello do you like the new purple flowers you collected
1,5,White flowers symbolize purity Don’t forget to combine different flowers to collect more, Hello have you tried combining flowers to collect more
2,1,First choose the most beautiful ribbons Clear obstacles around to tie them easily, Hello have you found the most beautiful ribbons Are there any obstacles causing trouble
2,2,Red ribbons bring luck and prosperity Use support items to break obstacles and collect them, Hello have you gathered enough red ribbons Do they bring you luck
2,3,Ribbons will make the wreaths stand out Remove obstacles to tie them beautifully, Hello do you need help removing obstacles and tying the ribbons nicely
2,4,Golden ribbons will make your wreath shine more brightly Clear obstacles to collect them, Hello have you gathered enough golden ribbons Are you facing any difficulties
2,5,Make sure the ribbons are tied tightly so they don’t come loose Use special items to clear the area and collect more ribbons, Hello have you secured the ribbons properly Do you need any help
3,1,Start collecting dry wood to prepare for the bonfire night Combine wood pieces to gather them quickly, Hello have you collected enough wood The bonfire night is coming soon
3,2,Large wooden logs are needed to create a strong fire Clear obstacles to get them, Hello have you gathered enough large logs Are obstacles making it difficult
3,3,Be careful when picking up wood Don’t let thorns prick your hands Remove sharp obstacles to collect wood safely, Hello do you feel safe while collecting wood Be careful of sharp objects
3,4,These wooden logs will help us have a warm bonfire night Combine wood pieces to collect them more efficiently, Hello have you finished preparing wood for the bonfire night
3,5,Don’t forget to bring wood to the fire area You need to clear obstacles to transport them easily, Hello have you brought enough wood to the fire area Do you need any help
4,1,Use red flowers to create lucky wreaths Clear obstacles to craft beautiful wreaths, Hello do you feel excited today
4,2,Wreaths need to be tightly secured Use support items to break obstacles and complete them, Hello did you sleep well
4,3,Make wreaths carefully to bring good luck to everyone Remove surrounding obstacles to complete the task, Hello do you like the festive atmosphere
4,4,You can decorate the wreaths with sparkling ribbons Clear the area to complete the task easily, Hello does today feel special to you
4,5,Each wreath will be given to a resident attending the festival Clear obstacles to complete this task, Hello is there anything you are looking forward to today
5,1,Use white flowers to create beautiful floating lanterns Remove obstacles to collect them, Hello do you feel relaxed today
5,2,The floating lanterns will be released into the river on festival night Collect and arrange them perfectly, Hello do you enjoy watching floating lanterns
5,3,Make sure your lanterns don’t sink Clear obstacles to prevent damage, Hello do you feel comfortable today
5,4,We will release floating lanterns to wish for a bountiful harvest Remove obstacles to release them properly, Hello would you like to share something joyful
5,5,Don’t forget to place candles in the lanterns so they shine brightly on the river Use special items to break obstacles and complete the lanterns, Hello do you like the sparkling lights
